MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

   8.205185413112872

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 41.404895 seconds.
Elapsed time is 43.665140 seconds.
Elapsed time is 43.668389 seconds.
Elapsed time is 43.153792 seconds.
Elapsed time is 42.375404 seconds.
Elapsed time is 46.672269 seconds.
Elapsed time is 44.242065 seconds.
Elapsed time is 44.394610 seconds.
Elapsed time is 43.601737 seconds.
Elapsed time is 45.231564 seconds.
Elapsed time is 41.796138 seconds.
Elapsed time is 44.439054 seconds.
Elapsed time is 42.763443 seconds.
Elapsed time is 42.953870 seconds.
Elapsed time is 46.138577 seconds.
Elapsed time is 46.857063 seconds.
Elapsed time is 46.926929 seconds.
Elapsed time is 48.992422 seconds.
Elapsed time is 49.378424 seconds.
Elapsed time is 49.980985 seconds.
Elapsed time is 49.884788 seconds.
Elapsed time is 49.773060 seconds.
Elapsed time is 49.078794 seconds.
Elapsed time is 49.922217 seconds.
Elapsed time is 47.287762 seconds.
Elapsed time is 48.876828 seconds.
Elapsed time is 49.116573 seconds.
Elapsed time is 49.436522 seconds.
Elapsed time is 48.666956 seconds.
Elapsed time is 50.253560 seconds.
Elapsed time is 49.216043 seconds.
Elapsed time is 46.158180 seconds.
Elapsed time is 47.485131 seconds.
Elapsed time is 47.721835 seconds.
Elapsed time is 46.821086 seconds.
Elapsed time is 46.989283 seconds.
Elapsed time is 46.503677 seconds.
Elapsed time is 45.373902 seconds.
Elapsed time is 40.702716 seconds.
Elapsed time is 45.616267 seconds.
Elapsed time is 43.514070 seconds.
Elapsed time is 44.739415 seconds.
Elapsed time is 47.615005 seconds.
Elapsed time is 42.572334 seconds.
Elapsed time is 41.165095 seconds.
Elapsed time is 41.480318 seconds.
Elapsed time is 42.502282 seconds.
Elapsed time is 40.789786 seconds.
Elapsed time is 43.849107 seconds.
Elapsed time is 45.381652 seconds.
Elapsed time is 45.672063 seconds.
Elapsed time is 47.375955 seconds.
Elapsed time is 44.313232 seconds.
Elapsed time is 43.763523 seconds.
Elapsed time is 46.879046 seconds.
Elapsed time is 44.262587 seconds.
Elapsed time is 45.673976 seconds.
Elapsed time is 45.383205 seconds.
Elapsed time is 46.247638 seconds.
Elapsed time is 45.500774 seconds.
Elapsed time is 43.287224 seconds.
Elapsed time is 43.571144 seconds.
Elapsed time is 41.876323 seconds.
Elapsed time is 41.217779 seconds.
Elapsed time is 41.319628 seconds.
Elapsed time is 45.408133 seconds.
Elapsed time is 48.769794 seconds.
Elapsed time is 45.701530 seconds.
Elapsed time is 44.970135 seconds.
Elapsed time is 41.975350 seconds.
Elapsed time is 42.981295 seconds.
Elapsed time is 44.499590 seconds.
Elapsed time is 41.916887 seconds.
Elapsed time is 42.316316 seconds.
Elapsed time is 43.760840 seconds.
Elapsed time is 44.938489 seconds.
Elapsed time is 44.206042 seconds.
Elapsed time is 45.558179 seconds.
Elapsed time is 44.771622 seconds.
Elapsed time is 49.156487 seconds.
Elapsed time is 48.005554 seconds.
Elapsed time is 49.067227 seconds.
Elapsed time is 47.798824 seconds.
Elapsed time is 46.030191 seconds.
Elapsed time is 48.218917 seconds.
Elapsed time is 48.517224 seconds.
Elapsed time is 47.447433 seconds.
Elapsed time is 49.060966 seconds.
Elapsed time is 50.383542 seconds.
Elapsed time is 49.497649 seconds.
Elapsed time is 49.236655 seconds.
Elapsed time is 49.710060 seconds.
Elapsed time is 50.106501 seconds.
Elapsed time is 51.967551 seconds.
Elapsed time is 51.558029 seconds.
Elapsed time is 51.312863 seconds.
Elapsed time is 52.651980 seconds.
Elapsed time is 52.535055 seconds.
Elapsed time is 53.441346 seconds.
Elapsed time is 47.385519 seconds.
Elapsed time is 42.075563 seconds.
Elapsed time is 40.420444 seconds.
Elapsed time is 44.259874 seconds.
Elapsed time is 45.263709 seconds.
Elapsed time is 46.724278 seconds.
Elapsed time is 46.657558 seconds.
Elapsed time is 49.858258 seconds.
Elapsed time is 49.151589 seconds.
Elapsed time is 49.378523 seconds.
Elapsed time is 49.965759 seconds.
Elapsed time is 49.720857 seconds.
Elapsed time is 48.686581 seconds.
Elapsed time is 45.507611 seconds.
Elapsed time is 40.977161 seconds.
Elapsed time is 38.458719 seconds.
Elapsed time is 37.091982 seconds.
Elapsed time is 42.664528 seconds.
Elapsed time is 42.914955 seconds.
Elapsed time is 42.375514 seconds.
Elapsed time is 41.144246 seconds.
Elapsed time is 44.811103 seconds.
Elapsed time is 45.480135 seconds.
Elapsed time is 46.161876 seconds.
Elapsed time is 46.109059 seconds.
Elapsed time is 48.792846 seconds.

                                        First-Order                    Norm of 
 Iteration  Func-count    Residual       optimality      Lambda           step
     0         125         3335.19        1.29e+06         0.01
Elapsed time is 50.755638 seconds.
Elapsed time is 49.883379 seconds.
Elapsed time is 50.842892 seconds.
Elapsed time is 49.928262 seconds.
Elapsed time is 50.522372 seconds.
Elapsed time is 50.500043 seconds.
Elapsed time is 51.040348 seconds.
Elapsed time is 49.769054 seconds.
Elapsed time is 47.198898 seconds.
Elapsed time is 41.357419 seconds.
Elapsed time is 37.657969 seconds.
Elapsed time is 37.828599 seconds.
Elapsed time is 42.852677 seconds.
Elapsed time is 44.875642 seconds.
Elapsed time is 44.870375 seconds.
Elapsed time is 48.878423 seconds.
Elapsed time is 45.880862 seconds.
Elapsed time is 43.014464 seconds.
Elapsed time is 46.504173 seconds.
Elapsed time is 49.695610 seconds.
Elapsed time is 49.453164 seconds.
Elapsed time is 47.678741 seconds.
Elapsed time is 44.625603 seconds.
Elapsed time is 46.224008 seconds.
Elapsed time is 44.873645 seconds.
Elapsed time is 44.103045 seconds.
Elapsed time is 47.306579 seconds.
Elapsed time is 48.227111 seconds.
Elapsed time is 45.316653 seconds.
Elapsed time is 46.254960 seconds.
Elapsed time is 45.101211 seconds.
Elapsed time is 41.155783 seconds.
Elapsed time is 39.975710 seconds.
Elapsed time is 36.538654 seconds.
Elapsed time is 36.354562 seconds.
Elapsed time is 38.902397 seconds.
Elapsed time is 37.756258 seconds.
Elapsed time is 38.300819 seconds.
Elapsed time is 38.904048 seconds.
Elapsed time is 42.923111 seconds.
Elapsed time is 43.743107 seconds.
