MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

   9.147593843781834

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 47.036952 seconds.
Elapsed time is 33.252110 seconds.
Elapsed time is 32.236181 seconds.
Elapsed time is 30.710876 seconds.
Elapsed time is 51.910556 seconds.
Elapsed time is 53.810484 seconds.
Elapsed time is 58.308343 seconds.
Elapsed time is 59.486753 seconds.
Elapsed time is 62.716197 seconds.
Elapsed time is 64.164954 seconds.
Elapsed time is 65.689319 seconds.
Elapsed time is 77.635136 seconds.
Elapsed time is 80.762542 seconds.
Elapsed time is 65.652598 seconds.
Elapsed time is 78.211781 seconds.
Elapsed time is 80.680856 seconds.
Elapsed time is 70.564399 seconds.
Elapsed time is 71.866644 seconds.
Elapsed time is 81.540846 seconds.
Elapsed time is 75.007363 seconds.
Elapsed time is 67.463588 seconds.
Elapsed time is 78.096443 seconds.
Elapsed time is 73.439224 seconds.
Elapsed time is 68.839391 seconds.
Elapsed time is 54.519490 seconds.
Elapsed time is 56.925803 seconds.
Elapsed time is 60.332383 seconds.
Elapsed time is 73.719974 seconds.
Elapsed time is 70.680417 seconds.
Elapsed time is 73.225475 seconds.
Elapsed time is 81.019404 seconds.
Elapsed time is 85.113897 seconds.
Elapsed time is 72.888845 seconds.
Elapsed time is 68.885535 seconds.
Elapsed time is 82.321026 seconds.
Elapsed time is 80.742514 seconds.
Elapsed time is 73.714397 seconds.
Elapsed time is 81.191002 seconds.
Elapsed time is 85.832595 seconds.
Elapsed time is 82.277930 seconds.
Elapsed time is 81.380214 seconds.
Elapsed time is 77.345883 seconds.
Elapsed time is 74.000574 seconds.
Elapsed time is 68.378329 seconds.
Elapsed time is 67.834641 seconds.
Elapsed time is 72.190493 seconds.
Elapsed time is 76.245908 seconds.
Elapsed time is 65.524898 seconds.
Elapsed time is 51.241793 seconds.
Elapsed time is 49.844712 seconds.
Elapsed time is 42.428003 seconds.
Elapsed time is 35.801288 seconds.
Elapsed time is 50.099586 seconds.
Elapsed time is 48.989388 seconds.
Elapsed time is 49.317655 seconds.
Elapsed time is 36.839583 seconds.
Elapsed time is 47.245610 seconds.
Elapsed time is 49.682134 seconds.
Elapsed time is 50.208228 seconds.
Elapsed time is 41.636624 seconds.
Elapsed time is 48.308097 seconds.
Elapsed time is 47.377083 seconds.
Elapsed time is 41.593956 seconds.
Elapsed time is 39.731265 seconds.
Elapsed time is 40.667423 seconds.
Elapsed time is 37.706561 seconds.
Elapsed time is 44.857879 seconds.
Elapsed time is 48.878294 seconds.
Elapsed time is 48.646512 seconds.
Elapsed time is 51.897315 seconds.
Elapsed time is 51.895625 seconds.
Elapsed time is 48.324517 seconds.
Elapsed time is 49.686184 seconds.
Elapsed time is 52.031837 seconds.
Elapsed time is 51.669250 seconds.
Elapsed time is 53.047123 seconds.
Elapsed time is 77.257960 seconds.
Elapsed time is 77.061837 seconds.
Elapsed time is 79.427396 seconds.
Elapsed time is 77.061578 seconds.
Elapsed time is 80.251959 seconds.
Elapsed time is 69.096894 seconds.
Elapsed time is 67.559609 seconds.
Elapsed time is 63.355922 seconds.
Elapsed time is 58.632230 seconds.
Elapsed time is 54.208510 seconds.
Elapsed time is 49.764282 seconds.
Elapsed time is 54.217105 seconds.
Elapsed time is 53.305429 seconds.
Elapsed time is 47.728877 seconds.
Elapsed time is 71.499657 seconds.
Elapsed time is 78.684282 seconds.
Elapsed time is 78.706162 seconds.
Elapsed time is 70.830040 seconds.
Elapsed time is 75.017237 seconds.
Elapsed time is 77.734203 seconds.
Elapsed time is 81.013170 seconds.
Elapsed time is 67.364537 seconds.
Elapsed time is 52.573553 seconds.
Elapsed time is 49.274343 seconds.
Elapsed time is 44.267004 seconds.
Elapsed time is 47.989783 seconds.
Elapsed time is 48.805213 seconds.
Elapsed time is 56.999614 seconds.
Elapsed time is 54.105149 seconds.
Elapsed time is 50.486937 seconds.
Elapsed time is 48.807321 seconds.
Elapsed time is 54.059403 seconds.
Elapsed time is 53.669576 seconds.
Elapsed time is 50.484910 seconds.
Elapsed time is 47.764781 seconds.
Elapsed time is 47.148643 seconds.
Elapsed time is 51.227797 seconds.
Elapsed time is 54.166679 seconds.
Elapsed time is 49.958908 seconds.
Elapsed time is 50.265384 seconds.
Elapsed time is 51.098428 seconds.
Elapsed time is 56.489926 seconds.
Elapsed time is 54.716494 seconds.
Elapsed time is 55.156292 seconds.
Elapsed time is 51.381059 seconds.
Elapsed time is 48.233516 seconds.
Elapsed time is 46.824707 seconds.
Elapsed time is 50.488458 seconds.
Elapsed time is 52.955285 seconds.

                                        First-Order                    Norm of 
 Iteration  Func-count    Residual       optimality      Lambda           step
     0         125         2247.51        3.22e+05         0.01
Elapsed time is 51.323036 seconds.
Elapsed time is 52.461369 seconds.
Elapsed time is 54.687756 seconds.
Elapsed time is 54.434221 seconds.
Elapsed time is 53.291517 seconds.
Elapsed time is 53.853948 seconds.
Elapsed time is 52.513401 seconds.
Elapsed time is 52.454696 seconds.
Elapsed time is 53.720765 seconds.
Elapsed time is 52.207414 seconds.
Elapsed time is 48.020540 seconds.
Elapsed time is 45.230126 seconds.
Elapsed time is 48.927439 seconds.
Elapsed time is 53.416098 seconds.
Elapsed time is 51.141726 seconds.
Elapsed time is 49.571407 seconds.
Elapsed time is 55.140812 seconds.
Elapsed time is 55.171775 seconds.
Elapsed time is 52.738305 seconds.
Elapsed time is 49.049230 seconds.
Elapsed time is 42.868947 seconds.
Elapsed time is 48.220987 seconds.
Elapsed time is 52.505878 seconds.
Elapsed time is 51.104052 seconds.
Elapsed time is 54.914852 seconds.
Elapsed time is 50.481860 seconds.
Elapsed time is 53.897430 seconds.
Elapsed time is 54.148876 seconds.
Elapsed time is 53.624307 seconds.
Elapsed time is 51.490417 seconds.
Elapsed time is 51.207809 seconds.
Elapsed time is 52.205016 seconds.
Elapsed time is 52.571425 seconds.
Elapsed time is 54.740028 seconds.
Elapsed time is 56.017037 seconds.
Elapsed time is 51.921516 seconds.
Elapsed time is 33.707030 seconds.
Elapsed time is 36.483824 seconds.
Elapsed time is 36.012992 seconds.
Elapsed time is 34.372523 seconds.
Elapsed time is 35.241582 seconds.
