MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

    9.5671

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 75.836347 seconds.
Elapsed time is 76.545366 seconds.
Elapsed time is 77.228006 seconds.
Elapsed time is 77.135195 seconds.
Elapsed time is 74.683941 seconds.
Elapsed time is 70.955560 seconds.
Elapsed time is 66.637862 seconds.
Elapsed time is 68.466844 seconds.
Elapsed time is 72.827944 seconds.
Elapsed time is 75.922951 seconds.
Elapsed time is 77.596759 seconds.
Elapsed time is 79.021361 seconds.
Elapsed time is 77.235558 seconds.
Elapsed time is 73.242880 seconds.
Elapsed time is 68.281761 seconds.
Elapsed time is 67.412030 seconds.
Elapsed time is 71.154938 seconds.
Elapsed time is 73.583441 seconds.
Elapsed time is 75.224829 seconds.
Elapsed time is 79.005265 seconds.
Elapsed time is 79.050570 seconds.
Elapsed time is 78.551083 seconds.
Elapsed time is 75.631894 seconds.
Elapsed time is 70.894837 seconds.
Elapsed time is 67.418015 seconds.
Elapsed time is 68.763143 seconds.
Elapsed time is 73.066507 seconds.
Elapsed time is 75.109843 seconds.
Elapsed time is 76.124122 seconds.
Elapsed time is 77.781056 seconds.
Elapsed time is 78.081140 seconds.
Elapsed time is 79.445642 seconds.
Elapsed time is 79.839774 seconds.
Elapsed time is 77.573164 seconds.
Elapsed time is 74.682330 seconds.
Elapsed time is 69.735897 seconds.
Elapsed time is 67.543827 seconds.
Elapsed time is 68.441988 seconds.
Elapsed time is 73.728496 seconds.
Elapsed time is 76.294767 seconds.
Elapsed time is 77.451699 seconds.
Elapsed time is 78.799678 seconds.
Elapsed time is 79.798348 seconds.
Elapsed time is 78.971319 seconds.
Elapsed time is 75.823752 seconds.
Elapsed time is 72.438193 seconds.
Elapsed time is 67.209015 seconds.
Elapsed time is 68.898853 seconds.
Elapsed time is 70.480104 seconds.
Elapsed time is 75.895359 seconds.
Elapsed time is 75.548121 seconds.
Elapsed time is 78.278329 seconds.
Elapsed time is 79.026953 seconds.
Elapsed time is 79.618887 seconds.
Elapsed time is 79.586623 seconds.
Elapsed time is 77.775793 seconds.
Elapsed time is 74.665825 seconds.
Elapsed time is 69.728241 seconds.
Elapsed time is 66.930884 seconds.
Elapsed time is 68.959613 seconds.
Elapsed time is 73.073682 seconds.
Elapsed time is 74.521707 seconds.
Elapsed time is 77.322100 seconds.
Elapsed time is 79.466625 seconds.
Elapsed time is 77.040366 seconds.
Elapsed time is 72.474583 seconds.
Elapsed time is 68.121906 seconds.
Elapsed time is 66.994078 seconds.
Elapsed time is 75.664304 seconds.
Elapsed time is 75.881620 seconds.
Elapsed time is 76.143143 seconds.
Elapsed time is 76.361403 seconds.
Elapsed time is 77.700651 seconds.
Elapsed time is 78.810969 seconds.
Elapsed time is 79.049505 seconds.
Elapsed time is 75.955912 seconds.
Elapsed time is 71.376115 seconds.
Elapsed time is 67.398230 seconds.
Elapsed time is 67.468943 seconds.
Elapsed time is 71.543080 seconds.
Elapsed time is 74.525121 seconds.
Elapsed time is 75.654424 seconds.
Elapsed time is 78.510918 seconds.
Elapsed time is 77.955794 seconds.
Elapsed time is 75.549568 seconds.
Elapsed time is 72.540795 seconds.
Elapsed time is 68.925906 seconds.
Elapsed time is 67.067729 seconds.
Elapsed time is 71.645836 seconds.
Elapsed time is 76.003871 seconds.
Elapsed time is 77.979385 seconds.
Elapsed time is 79.100010 seconds.
Elapsed time is 77.093232 seconds.
Elapsed time is 73.320295 seconds.
Elapsed time is 68.680962 seconds.
Elapsed time is 67.037410 seconds.
Elapsed time is 69.186750 seconds.
Elapsed time is 72.533769 seconds.
Elapsed time is 74.905326 seconds.
Elapsed time is 78.824050 seconds.
Elapsed time is 79.324045 seconds.
Elapsed time is 77.252024 seconds.
Elapsed time is 72.943329 seconds.
Elapsed time is 67.725170 seconds.
Elapsed time is 68.036130 seconds.
Elapsed time is 70.851096 seconds.
Elapsed time is 74.519419 seconds.
Elapsed time is 77.421146 seconds.
Elapsed time is 76.611247 seconds.
Elapsed time is 78.416494 seconds.
Elapsed time is 79.743805 seconds.
Elapsed time is 75.592889 seconds.
Elapsed time is 72.197828 seconds.
Elapsed time is 67.892267 seconds.
Elapsed time is 68.286291 seconds.
Elapsed time is 70.348761 seconds.
Elapsed time is 88.539724 seconds.
Elapsed time is 70.213224 seconds.
Elapsed time is 74.112541 seconds.
Elapsed time is 76.181534 seconds.
Elapsed time is 78.091015 seconds.
Elapsed time is 78.662588 seconds.
Elapsed time is 79.247235 seconds.
Elapsed time is 77.254394 seconds.
Elapsed time is 74.780109 seconds.

                                        First-Order                    Norm of 
 Iteration  Func-count    Residual       optimality      Lambda           step
     0         125         9168.75        3.44e+07         0.01
Elapsed time is 69.972121 seconds.
Elapsed time is 67.483642 seconds.
Elapsed time is 68.127946 seconds.
Elapsed time is 72.392559 seconds.
Elapsed time is 79.890413 seconds.
Elapsed time is 79.684494 seconds.
Elapsed time is 76.660435 seconds.
Elapsed time is 73.865956 seconds.
Elapsed time is 68.574995 seconds.
Elapsed time is 67.240496 seconds.
Elapsed time is 68.935631 seconds.
Elapsed time is 74.076039 seconds.
Elapsed time is 75.881469 seconds.
Elapsed time is 75.427287 seconds.
Elapsed time is 77.548456 seconds.
Elapsed time is 79.284810 seconds.
Elapsed time is 78.762404 seconds.
Elapsed time is 77.752343 seconds.
Elapsed time is 74.463371 seconds.
Elapsed time is 69.117535 seconds.
Elapsed time is 66.296558 seconds.
Elapsed time is 69.505331 seconds.
Elapsed time is 72.944033 seconds.
Elapsed time is 75.318986 seconds.
Elapsed time is 78.634947 seconds.
Elapsed time is 78.278697 seconds.
Elapsed time is 75.131042 seconds.
Elapsed time is 70.997023 seconds.
Elapsed time is 67.116433 seconds.
Elapsed time is 68.752368 seconds.
Elapsed time is 72.706183 seconds.
Elapsed time is 74.538184 seconds.
Elapsed time is 77.310970 seconds.
Elapsed time is 78.503771 seconds.
Elapsed time is 75.137190 seconds.
Elapsed time is 72.868355 seconds.
Elapsed time is 68.954407 seconds.
Elapsed time is 67.415003 seconds.
Elapsed time is 70.094850 seconds.
Elapsed time is 73.627739 seconds.
Elapsed time is 76.765444 seconds.
