MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 143.240338 seconds.
Elapsed time is 116.214199 seconds.
Elapsed time is 119.547549 seconds.
Elapsed time is 134.589828 seconds.
Elapsed time is 125.886231 seconds.
Elapsed time is 122.059743 seconds.
Elapsed time is 104.681413 seconds.
Elapsed time is 115.755550 seconds.
Elapsed time is 108.233501 seconds.
Elapsed time is 113.966616 seconds.
Elapsed time is 121.579947 seconds.
Elapsed time is 112.447271 seconds.
Elapsed time is 111.940818 seconds.
Elapsed time is 122.297573 seconds.
Elapsed time is 107.031380 seconds.
Elapsed time is 119.516033 seconds.
Elapsed time is 124.308221 seconds.
Elapsed time is 121.500762 seconds.
Elapsed time is 121.353456 seconds.
Elapsed time is 110.477899 seconds.
Elapsed time is 114.515008 seconds.
Elapsed time is 123.621398 seconds.
Elapsed time is 124.982307 seconds.
Elapsed time is 129.638523 seconds.
Elapsed time is 122.374015 seconds.
Elapsed time is 116.638934 seconds.
Elapsed time is 104.437642 seconds.
Elapsed time is 114.940368 seconds.
Elapsed time is 109.387753 seconds.
Elapsed time is 131.173398 seconds.
Elapsed time is 135.461849 seconds.
Elapsed time is 147.612240 seconds.
Elapsed time is 137.864589 seconds.
Elapsed time is 133.830225 seconds.
Elapsed time is 126.627181 seconds.
Elapsed time is 132.218069 seconds.
Elapsed time is 137.232063 seconds.
Elapsed time is 120.677945 seconds.
Elapsed time is 132.397968 seconds.
Elapsed time is 139.486280 seconds.
Elapsed time is 119.820590 seconds.
Elapsed time is 123.327833 seconds.
Elapsed time is 124.503173 seconds.
Elapsed time is 130.092502 seconds.
Elapsed time is 124.927744 seconds.
Elapsed time is 119.976279 seconds.
Elapsed time is 126.344136 seconds.
Elapsed time is 117.688626 seconds.
Elapsed time is 122.049633 seconds.
Elapsed time is 113.707608 seconds.
Elapsed time is 126.822971 seconds.
Elapsed time is 117.953358 seconds.
Elapsed time is 123.732496 seconds.
Elapsed time is 126.405052 seconds.
Elapsed time is 130.143978 seconds.
Elapsed time is 118.436025 seconds.
Elapsed time is 128.770587 seconds.
Elapsed time is 133.491120 seconds.
Elapsed time is 124.699524 seconds.
Elapsed time is 131.156197 seconds.
Elapsed time is 129.606377 seconds.
Elapsed time is 136.340984 seconds.
Elapsed time is 129.381127 seconds.
Elapsed time is 117.834708 seconds.
Elapsed time is 122.832954 seconds.
Elapsed time is 121.846880 seconds.
Elapsed time is 129.913526 seconds.
Elapsed time is 119.977316 seconds.
Elapsed time is 139.125603 seconds.
Elapsed time is 128.784328 seconds.
Elapsed time is 123.056497 seconds.
Elapsed time is 136.178706 seconds.
Elapsed time is 137.613699 seconds.
Elapsed time is 136.846920 seconds.
Elapsed time is 133.088171 seconds.
Elapsed time is 133.995365 seconds.
Elapsed time is 143.073272 seconds.
Elapsed time is 128.342756 seconds.
Elapsed time is 149.775460 seconds.
Elapsed time is 134.989194 seconds.
Elapsed time is 138.435276 seconds.
Elapsed time is 135.725778 seconds.
Elapsed time is 123.211071 seconds.
Elapsed time is 130.032943 seconds.
Elapsed time is 123.527158 seconds.
Elapsed time is 129.938402 seconds.
Elapsed time is 136.414842 seconds.
Elapsed time is 129.902756 seconds.
Elapsed time is 139.649384 seconds.
Elapsed time is 128.542626 seconds.
Elapsed time is 139.484640 seconds.
Elapsed time is 130.060152 seconds.
Elapsed time is 125.831356 seconds.
Elapsed time is 127.426235 seconds.
Elapsed time is 124.223718 seconds.
Elapsed time is 144.669119 seconds.
Elapsed time is 132.234401 seconds.
Elapsed time is 125.390602 seconds.
Elapsed time is 120.302362 seconds.
Elapsed time is 130.645665 seconds.
Elapsed time is 142.484789 seconds.
Elapsed time is 128.899689 seconds.
Elapsed time is 129.077062 seconds.
Elapsed time is 136.316391 seconds.
Elapsed time is 123.581137 seconds.
Elapsed time is 114.016220 seconds.
Elapsed time is 124.111308 seconds.
Elapsed time is 122.159870 seconds.
Elapsed time is 126.554371 seconds.
Elapsed time is 127.810772 seconds.
Elapsed time is 130.152127 seconds.
Elapsed time is 142.004489 seconds.
Elapsed time is 130.654561 seconds.
Elapsed time is 129.573727 seconds.
Elapsed time is 124.054959 seconds.
Elapsed time is 125.257789 seconds.
Elapsed time is 144.090198 seconds.
Elapsed time is 136.502306 seconds.
Elapsed time is 126.748252 seconds.
Elapsed time is 135.376717 seconds.
Elapsed time is 133.977525 seconds.
Elapsed time is 140.120184 seconds.
Elapsed time is 126.090194 seconds.
Elapsed time is 120.228212 seconds.
Elapsed time is 126.308726 seconds.

                                        First-Order                    Norm of 
 Iteration  Func-count    Residual       optimality      Lambda           step
     0         125         5737.41        2.35e+05         0.01
Elapsed time is 136.394536 seconds.
Elapsed time is 137.617665 seconds.
Elapsed time is 137.207777 seconds.
Elapsed time is 156.732582 seconds.
Elapsed time is 150.112987 seconds.
Elapsed time is 145.723927 seconds.
Elapsed time is 153.172488 seconds.
Elapsed time is 145.004140 seconds.
Elapsed time is 150.359305 seconds.
Elapsed time is 155.520050 seconds.
Elapsed time is 151.098814 seconds.
Elapsed time is 157.328197 seconds.
Elapsed time is 158.508106 seconds.
Elapsed time is 164.813859 seconds.
Elapsed time is 153.867985 seconds.
Elapsed time is 150.471349 seconds.
Elapsed time is 160.987014 seconds.
Elapsed time is 146.217122 seconds.
Elapsed time is 150.777570 seconds.
Elapsed time is 146.363137 seconds.
Elapsed time is 147.057164 seconds.
Elapsed time is 129.237191 seconds.
Elapsed time is 152.242306 seconds.
Elapsed time is 159.124229 seconds.
Elapsed time is 140.653363 seconds.
Elapsed time is 148.635609 seconds.
Elapsed time is 143.148532 seconds.
Elapsed time is 143.219102 seconds.
Elapsed time is 143.557168 seconds.
Elapsed time is 139.407981 seconds.
Elapsed time is 161.901851 seconds.
Elapsed time is 141.355680 seconds.
Elapsed time is 153.738179 seconds.
Elapsed time is 149.863162 seconds.
Elapsed time is 150.569374 seconds.
Elapsed time is 163.540379 seconds.
Elapsed time is 152.624905 seconds.
Elapsed time is 146.715800 seconds.
Elapsed time is 143.331142 seconds.
Elapsed time is 149.332813 seconds.
Elapsed time is 147.956854 seconds.
Elapsed time is 191.117692 seconds.
