MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 94.838765 seconds.
Elapsed time is 100.179174 seconds.
Elapsed time is 132.264730 seconds.
Elapsed time is 120.307711 seconds.
Elapsed time is 115.805371 seconds.
Elapsed time is 113.287021 seconds.
Elapsed time is 118.689401 seconds.
Elapsed time is 141.763898 seconds.
Elapsed time is 137.074124 seconds.
Elapsed time is 135.100258 seconds.
Elapsed time is 132.581128 seconds.
Elapsed time is 138.403686 seconds.
Elapsed time is 132.157643 seconds.
Elapsed time is 128.006021 seconds.
Elapsed time is 123.148705 seconds.
Elapsed time is 139.020915 seconds.
Elapsed time is 133.888114 seconds.
Elapsed time is 132.408594 seconds.
Elapsed time is 128.448265 seconds.
Elapsed time is 117.021298 seconds.
Elapsed time is 123.881908 seconds.
Elapsed time is 136.500389 seconds.
Elapsed time is 135.263260 seconds.
Elapsed time is 126.381580 seconds.
Elapsed time is 121.339225 seconds.
Elapsed time is 120.743288 seconds.
Elapsed time is 117.580130 seconds.
Elapsed time is 146.214972 seconds.
Elapsed time is 131.888715 seconds.
Elapsed time is 127.464906 seconds.
Elapsed time is 138.209114 seconds.
Elapsed time is 124.272307 seconds.
Elapsed time is 116.389485 seconds.
Elapsed time is 108.461855 seconds.
Elapsed time is 117.229207 seconds.
Elapsed time is 116.630158 seconds.
Elapsed time is 124.967926 seconds.
Elapsed time is 124.677588 seconds.
Elapsed time is 126.312121 seconds.
Elapsed time is 136.015431 seconds.
Elapsed time is 116.464402 seconds.
Elapsed time is 118.039164 seconds.
Elapsed time is 128.149054 seconds.
Elapsed time is 118.577995 seconds.
Elapsed time is 124.049992 seconds.
Elapsed time is 127.061155 seconds.
Elapsed time is 129.377922 seconds.
Elapsed time is 124.187220 seconds.
Elapsed time is 129.511076 seconds.
Elapsed time is 131.019237 seconds.
Elapsed time is 140.060330 seconds.
Elapsed time is 126.687543 seconds.
Elapsed time is 130.009587 seconds.
Elapsed time is 122.426549 seconds.
Elapsed time is 130.584052 seconds.
Elapsed time is 120.156251 seconds.
Elapsed time is 133.250957 seconds.
Elapsed time is 136.618338 seconds.
Elapsed time is 121.794081 seconds.
Elapsed time is 136.178358 seconds.
Elapsed time is 127.120335 seconds.
Elapsed time is 142.435001 seconds.
Elapsed time is 130.280933 seconds.
Elapsed time is 120.188824 seconds.
Elapsed time is 138.003757 seconds.
Elapsed time is 142.898259 seconds.
Elapsed time is 132.733296 seconds.
Elapsed time is 139.419358 seconds.
Elapsed time is 136.224701 seconds.
Elapsed time is 135.404133 seconds.
Elapsed time is 126.048099 seconds.
Elapsed time is 125.517841 seconds.
Elapsed time is 131.366170 seconds.
Elapsed time is 118.934300 seconds.
Elapsed time is 119.004321 seconds.
Elapsed time is 119.330908 seconds.
Elapsed time is 119.150369 seconds.
Elapsed time is 124.643461 seconds.
Elapsed time is 114.344662 seconds.
Elapsed time is 124.611360 seconds.
Elapsed time is 110.841149 seconds.
Elapsed time is 121.864385 seconds.
Elapsed time is 112.302873 seconds.
Elapsed time is 140.577126 seconds.
Elapsed time is 124.893341 seconds.
Elapsed time is 122.844634 seconds.
Elapsed time is 121.139241 seconds.
Elapsed time is 126.292051 seconds.
Elapsed time is 113.103925 seconds.
Elapsed time is 119.040842 seconds.
Elapsed time is 115.849769 seconds.
Elapsed time is 118.005307 seconds.
Elapsed time is 126.670761 seconds.
Elapsed time is 123.386189 seconds.
Elapsed time is 130.634508 seconds.
Elapsed time is 142.938408 seconds.
Elapsed time is 125.075820 seconds.
Elapsed time is 118.405859 seconds.
Elapsed time is 120.976721 seconds.
Elapsed time is 140.200229 seconds.
Elapsed time is 123.940972 seconds.
Elapsed time is 121.104200 seconds.
Elapsed time is 119.358598 seconds.
Elapsed time is 126.630377 seconds.
Elapsed time is 130.173169 seconds.
Elapsed time is 122.652466 seconds.
Elapsed time is 146.113764 seconds.
Elapsed time is 134.305343 seconds.
Elapsed time is 143.934713 seconds.
Elapsed time is 141.788422 seconds.
Elapsed time is 134.636154 seconds.
Elapsed time is 131.021381 seconds.
Elapsed time is 127.762456 seconds.
Elapsed time is 115.876189 seconds.
Elapsed time is 126.916870 seconds.
Elapsed time is 126.998315 seconds.
Elapsed time is 118.988404 seconds.
Elapsed time is 124.432931 seconds.
Elapsed time is 111.600908 seconds.
Elapsed time is 126.873956 seconds.
Elapsed time is 125.689855 seconds.
Elapsed time is 134.317630 seconds.
Elapsed time is 128.386910 seconds.
Elapsed time is 118.638781 seconds.
Elapsed time is 121.782890 seconds.

                                        First-Order                    Norm of 
 Iteration  Func-count    Residual       optimality      Lambda           step
     0         125         12131.9         2.5e+05         0.01
Elapsed time is 141.709534 seconds.
Elapsed time is 137.868849 seconds.
Elapsed time is 139.194656 seconds.
Elapsed time is 170.249633 seconds.
Elapsed time is 165.075887 seconds.
Elapsed time is 173.582585 seconds.
Elapsed time is 180.757790 seconds.
Elapsed time is 167.101094 seconds.
Elapsed time is 156.536338 seconds.
Elapsed time is 167.928619 seconds.
Elapsed time is 162.880693 seconds.
Elapsed time is 145.287729 seconds.
Elapsed time is 153.557448 seconds.
Elapsed time is 156.301575 seconds.
Elapsed time is 157.130078 seconds.
Elapsed time is 165.797865 seconds.
Elapsed time is 145.102438 seconds.
Elapsed time is 157.001296 seconds.
Elapsed time is 155.363574 seconds.
Elapsed time is 165.077946 seconds.
Elapsed time is 171.158168 seconds.
Elapsed time is 182.345098 seconds.
Elapsed time is 165.974813 seconds.
Elapsed time is 171.200605 seconds.
Elapsed time is 175.086639 seconds.
Elapsed time is 176.729831 seconds.
Elapsed time is 163.163926 seconds.
Elapsed time is 158.622295 seconds.
Elapsed time is 174.682907 seconds.
Elapsed time is 158.923682 seconds.
Elapsed time is 172.513677 seconds.
Elapsed time is 165.916559 seconds.
Elapsed time is 165.049595 seconds.
Elapsed time is 159.872619 seconds.
Elapsed time is 155.326569 seconds.
Elapsed time is 167.997036 seconds.
Elapsed time is 165.699088 seconds.
Elapsed time is 162.224689 seconds.
Elapsed time is 162.117911 seconds.
Elapsed time is 157.884440 seconds.
Elapsed time is 168.698692 seconds.
Elapsed time is 156.719241 seconds.
