MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

   10.3092

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 62.367506 seconds.
Elapsed time is 60.138485 seconds.
Elapsed time is 60.568526 seconds.
Elapsed time is 59.535958 seconds.
Elapsed time is 59.887785 seconds.
Elapsed time is 60.425555 seconds.
Elapsed time is 59.813785 seconds.
Elapsed time is 58.100680 seconds.
Elapsed time is 58.156285 seconds.
Elapsed time is 58.037296 seconds.
Elapsed time is 57.859959 seconds.
Elapsed time is 57.937825 seconds.
Elapsed time is 57.602299 seconds.
Elapsed time is 57.487927 seconds.
Elapsed time is 57.659802 seconds.
Elapsed time is 57.365579 seconds.
Elapsed time is 57.660063 seconds.
Elapsed time is 57.532877 seconds.
Elapsed time is 57.753862 seconds.
Elapsed time is 57.542911 seconds.
Elapsed time is 57.568027 seconds.
Elapsed time is 57.462138 seconds.
Elapsed time is 57.517434 seconds.
Elapsed time is 57.536601 seconds.
Elapsed time is 57.439171 seconds.
Elapsed time is 57.479895 seconds.
Elapsed time is 57.351354 seconds.
Elapsed time is 57.531357 seconds.
Elapsed time is 57.242808 seconds.
Elapsed time is 57.634092 seconds.
Elapsed time is 57.264426 seconds.
Elapsed time is 57.388886 seconds.
Elapsed time is 57.465240 seconds.
Elapsed time is 57.292663 seconds.
Elapsed time is 57.466530 seconds.
Elapsed time is 57.361824 seconds.
Elapsed time is 57.387610 seconds.
Elapsed time is 57.411173 seconds.
Elapsed time is 57.466369 seconds.
Elapsed time is 57.501049 seconds.
Elapsed time is 57.668331 seconds.
Elapsed time is 57.563479 seconds.
Elapsed time is 58.590369 seconds.
Elapsed time is 58.979034 seconds.
Elapsed time is 58.407550 seconds.
Elapsed time is 58.495717 seconds.
Elapsed time is 58.190391 seconds.
Elapsed time is 58.723490 seconds.
Elapsed time is 58.582218 seconds.
Elapsed time is 58.433791 seconds.
Elapsed time is 58.710852 seconds.
Elapsed time is 58.312900 seconds.
Elapsed time is 58.406406 seconds.
Elapsed time is 58.049528 seconds.
Elapsed time is 58.497636 seconds.
Elapsed time is 58.394174 seconds.
Elapsed time is 58.703676 seconds.
Elapsed time is 58.837622 seconds.
Elapsed time is 58.828339 seconds.
Elapsed time is 58.817054 seconds.
Elapsed time is 58.433904 seconds.
Elapsed time is 58.496219 seconds.
Elapsed time is 58.551932 seconds.
Elapsed time is 58.379166 seconds.
Elapsed time is 58.675783 seconds.
Elapsed time is 58.336752 seconds.
Elapsed time is 58.644358 seconds.
Elapsed time is 58.734164 seconds.
Elapsed time is 58.493881 seconds.
Elapsed time is 58.471962 seconds.
Elapsed time is 58.902178 seconds.
Elapsed time is 58.924782 seconds.
Elapsed time is 58.610813 seconds.
Elapsed time is 58.487272 seconds.
Elapsed time is 58.461271 seconds.
Elapsed time is 58.675396 seconds.
Elapsed time is 58.483857 seconds.
Elapsed time is 58.161594 seconds.
Elapsed time is 58.702605 seconds.
Elapsed time is 58.216604 seconds.
Elapsed time is 58.544428 seconds.
Elapsed time is 58.973576 seconds.
Elapsed time is 59.077489 seconds.
Elapsed time is 58.880315 seconds.
Elapsed time is 58.124201 seconds.
Elapsed time is 58.805799 seconds.
Elapsed time is 57.969451 seconds.
Elapsed time is 57.810953 seconds.
Elapsed time is 57.716930 seconds.
Elapsed time is 57.700069 seconds.
Elapsed time is 57.697223 seconds.
Elapsed time is 57.533964 seconds.
Elapsed time is 57.462438 seconds.
Elapsed time is 57.792704 seconds.
Elapsed time is 57.660826 seconds.
Elapsed time is 57.555515 seconds.
Elapsed time is 58.351002 seconds.
Elapsed time is 58.305412 seconds.
Elapsed time is 57.734677 seconds.
Elapsed time is 57.499575 seconds.
Elapsed time is 57.821557 seconds.
Elapsed time is 57.843460 seconds.
Elapsed time is 57.607924 seconds.
Elapsed time is 57.429318 seconds.
Elapsed time is 57.630535 seconds.
Elapsed time is 57.772691 seconds.
Elapsed time is 57.413477 seconds.
Elapsed time is 57.525073 seconds.
Elapsed time is 57.450078 seconds.
Elapsed time is 57.533490 seconds.
Elapsed time is 57.486186 seconds.
Elapsed time is 57.419777 seconds.
Elapsed time is 57.318316 seconds.
Elapsed time is 57.369723 seconds.
Elapsed time is 57.360765 seconds.
Elapsed time is 57.400394 seconds.
Elapsed time is 58.123256 seconds.
Elapsed time is 57.381769 seconds.
Elapsed time is 57.394462 seconds.
Elapsed time is 57.353993 seconds.
Elapsed time is 57.523936 seconds.
Elapsed time is 57.344152 seconds.
Elapsed time is 57.373058 seconds.
Elapsed time is 57.848108 seconds.
Elapsed time is 57.315217 seconds.

                                        First-Order                    Norm of 
 Iteration  Func-count    Residual       optimality      Lambda           step
     0         125         6334.72           8e+05         0.01
Elapsed time is 57.272849 seconds.
Elapsed time is 57.469211 seconds.
Elapsed time is 57.284882 seconds.
Elapsed time is 57.692140 seconds.
Elapsed time is 57.662779 seconds.
Elapsed time is 57.876539 seconds.
Elapsed time is 58.221922 seconds.
Elapsed time is 57.366794 seconds.
Elapsed time is 57.308275 seconds.
Elapsed time is 57.726605 seconds.
Elapsed time is 57.489277 seconds.
Elapsed time is 57.487674 seconds.
Elapsed time is 57.690797 seconds.
Elapsed time is 57.868234 seconds.
Elapsed time is 57.403932 seconds.
Elapsed time is 57.841626 seconds.
Elapsed time is 58.115768 seconds.
Elapsed time is 57.569139 seconds.
Elapsed time is 57.622748 seconds.
Elapsed time is 57.330511 seconds.
Elapsed time is 57.382505 seconds.
Elapsed time is 57.507344 seconds.
Elapsed time is 57.426985 seconds.
Elapsed time is 57.449625 seconds.
Elapsed time is 57.609542 seconds.
Elapsed time is 57.538608 seconds.
Elapsed time is 57.325818 seconds.
Elapsed time is 57.438988 seconds.
Elapsed time is 57.500152 seconds.
Elapsed time is 57.480129 seconds.
Elapsed time is 57.768705 seconds.
Elapsed time is 57.576923 seconds.
Elapsed time is 58.046279 seconds.
Elapsed time is 58.136715 seconds.
Elapsed time is 57.597819 seconds.
Elapsed time is 57.548900 seconds.
Elapsed time is 57.712483 seconds.
Elapsed time is 57.736465 seconds.
Elapsed time is 57.933579 seconds.
Elapsed time is 57.541947 seconds.
Elapsed time is 57.616131 seconds.
Elapsed time is 57.689957 seconds.
